Time;Channel A;Channel B
(ms);(V);(V)

-0,00500800;12,12598419;11,49606323
-0,00250400;12,12598419;11,49606323
0,00000000;12,12598419;11,49606323
0,00250400;12,12598419;11,49606323
0,00500800;12,12598419;11,49606323
0,00751200;12,12598419;11,49606323
0,01001600;12,12598419;11,49606323
0,01252000;12,12598419;11,49606323
0,01502400;12,12598419;11,49606323
0,01752800;12,12598419;11,49606323
0,02003200;12,12598419;11,49606323
0,02253600;12,12598419;11,49606323
0,02504000;12,12598419;11,49606323
0,02754400;12,12598419;11,49606323
0,03004800;12,12598419;11,49606323
0,03255200;12,12598419;11,49606323
0,03505600;12,12598419;11,49606323
0,03756000;12,12598419;11,49606323
0,04006400;12,12598419;11,49606323
0,04256800;12,12598419;11,49606323
0,04507200;12,12598419;11,49606323
0,04757600;12,12598419;11,49606323
0,05008000;12,12598419;11,49606323
0,05258400;12,12598419;11,49606323
0,05508800;12,12598419;11,49606323
0,05759200;12,12598419;11,49606323
0,06009600;12,12598419;11,49606323
0,06260000;12,12598419;11,49606323
0,06510400;12,12598419;11,49606323
0,06760800;12,12598419;11,49606323
0,07011200;12,12598419;11,49606323
0,07261600;12,12598419;11,49606323
0,07512000;12,12598419;11,49606323
0,07762400;12,12598419;11,49606323
0,08012800;12,12598419;11,49606323
0,08263200;12,12598419;11,49606323
0,08513600;12,12598419;11,49606323
0,08764000;12,12598419;11,49606323
0,09014400;12,12598419;11,49606323
0,09264800;12,12598419;11,49606323
0,09515200;12,12598419;11,49606323
0,09765600;12,12598419;11,49606323
0,10016000;12,12598419;11,49606323
0,10266400;12,12598419;11,49606323
0,10516800;12,12598419;11,49606323
0,10767200;12,12598419;11,49606323
0,11017600;12,12598419;11,49606323
0,11268000;12,12598419;11,49606323
0,11518400;12,12598419;11,49606323
0,11768800;12,12598419;11,49606323
0,12019199;12,12598419;11,49606323
0,12269599;12,12598419;11,49606323
0,12519999;12,12598419;11,49606323
0,12770399;12,12598419;11,49606323
0,13020799;12,12598419;11,49606323
0,13271199;12,12598419;11,49606323
0,13521599;12,12598419;11,49606323
0,13771999;12,12598419;11,49606323
0,14022399;12,12598419;11,49606323
0,14272799;12,12598419;11,49606323
0,14523199;12,12598419;11,49606323
0,14773599;12,12598419;11,49606323
0,15023999;12,12598419;11,49606323
0,15274399;12,12598419;11,49606323
0,15524799;12,12598419;11,49606323
0,15775199;12,12598419;11,49606323
0,16025599;12,12598419;11,49606323
0,16275999;12,12598419;11,49606323
0,16526399;12,12598419;11,49606323
0,16776799;12,12598419;11,49606323
0,17027199;12,12598419;11,49606323
0,17277599;12,12598419;11,49606323
0,17527999;12,12598419;11,49606323
0,17778399;12,12598419;11,49606323
0,18028799;12,12598419;11,49606323
0,18279199;12,12598419;11,49606323
0,18529599;12,12598419;11,49606323
0,18779999;12,12598419;11,49606323
0,19030399;12,12598419;11,49606323
0,19280799;12,12598419;11,49606323
0,19531199;12,12598419;11,49606323
0,19781599;12,12598419;11,49606323
0,20031999;12,12598419;11,49606323
0,20282399;12,12598419;11,49606323
0,20532799;12,12598419;11,49606323
0,20783199;12,12598419;11,49606323
0,21033599;12,12598419;11,49606323
0,21283999;12,12598419;11,49606323
0,21534399;12,12598419;11,49606323
0,21784799;12,12598419;11,49606323
0,22035199;12,12598419;11,49606323
0,22285599;12,12598419;11,49606323
0,22535999;12,12598419;11,49606323
0,22786399;12,12598419;11,49606323
0,23036799;12,12598419;11,49606323
0,23287199;12,12598419;11,49606323
0,23537599;12,12598419;11,49606323
0,23787999;12,12598419;11,49606323
0,24038399;12,12598419;11,49606323
0,24288799;12,12598419;11,49606323
0,24539199;12,12598419;11,49606323
0,24789599;12,12598419;11,49606323
0,25039999;12,12598419;11,49606323
0,25290399;12,12598419;11,49606323
0,25540799;12,12598419;11,49606323
0,25791199;12,12598419;11,49606323
0,26041599;12,12598419;11,49606323
0,26291999;12,12598419;11,49606323
0,26542399;12,12598419;11,49606323
0,26792799;12,12598419;11,49606323
0,27043199;12,12598419;11,49606323
0,27293599;12,12598419;11,49606323
0,27543999;12,12598419;11,49606323
0,27794399;12,12598419;11,49606323
0,28044799;12,12598419;11,49606323
0,28295199;12,12598419;11,49606323
0,28545599;12,12598419;11,49606323
0,28795999;12,12598419;11,49606323
0,29046399;12,12598419;11,49606323
0,29296799;12,12598419;11,49606323
0,29547199;12,12598419;11,49606323
0,29797599;12,12598419;11,49606323
0,30047999;12,12598419;11,49606323
0,30298399;12,12598419;11,49606323
0,30548799;12,12598419;11,49606323
0,30799199;12,12598419;11,49606323
